pattern_id,pattern_type,description,severity,detection_count,last_seen,created_at,feature_vector
SIG-0011,synthetic_identity,New account with thin credit file initiating high-value international transfers. Variant 11: detected in p2p channel with medium confidence.,medium,3580,2026-01-16,2024-10-14,"[0.5108, -1.0725, -1.1798, 0.0915, 0.4843, -0.6474, -0.0212, 0.3634, -0.1544, -0.7727, -1.2437, -0.7673, 1.6674, 1.5826, 0.7865, -0.0259, -1.438, -0.3803, 1.2992, -2.4553, -1.6545, -0.2476, 0.0845, 1.6592, 0.5028, -0.1111, 0.2912, -1.2329, -0.2371, 0.1354, 0.4342, 0.5466, -0.6508, 0.3936, -0.2767, -1.38, 0.7206, -1.7193, 0.2498, -0.6856, 0.3124, -0.5777, 1.1618, -0.4612, -0.8632, -0.8804, 0.1091, -1.6394, 1.9701, -0.8106, 0.1952, 1.0791, 0.4301, 0.0048, 0.1017, 0.3491, -1.1184, 0.4786, 0.0892, -0.0484, 0.603, -1.7152, -1.3125, 0.1279]"
SIG-0012,round_amount_pattern,Multiple transactions at exact round dollar amounts suggesting test transactions. Variant 12: detected in atm channel with high confidence.,medium,770,2026-02-06,2024-03-06,"[-0.9063, 0.1545, -0.1979, -0.6314, -0.0463, -0.5291, 0.2738, -1.6318, -0.9465, -1.4201, 0.1565, 0.0564, 1.4606, 1.0223, 0.8223, -0.2427, -2.0688, -0.1285, -0.6879, -0.7254, 0.0945, -0.2194, -1.5043, 0.8767, 1.9632, 0.5545, 0.7609, 0.1978, 0.1575, 0.9706, 1.0637, -0.4421, -0.3467, 1.5103, -1.7212, -0.0877, -0.7736, -0.4671, 0.6132, 0.0249, 0.2275, -1.7886, -1.0566, -0.9914, -1.2473, 1.0623, -1.2937, -1.2228, -1.2247, 1.2209, -1.8318, 0.6661, -1.2126, -2.0433, -0.4507, 1.741, 0.432, -0.4201, 0.7031, -0.009, -2.1229, 0.6865, -1.4338, -0.6649]"
SIG-0013,round_amount_pattern,Multiple transactions at exact round dollar amounts suggesting test transactions. Variant 13: detected in international channel with medium confidence.,medium,284,2026-02-25,2024-10-03,"[1.9628, 1.2049, 0.3223, 1.4319, -0.0264, -2.3672, 1.8388, -3.0463, 0.5978, 0.6901, -1.0229, 0.5837, -1.9696, -0.2073, 0.1367, -0.2342, -0.8098, -0.1693, -0.3584, 1.7879, -0.6805, 0.481, 0.0749, 0.6749, 0.3966, -3.0103, 1.4999, -0.6947, -1.1404, 0.9031, -0.0463, -0.2645, -0.3485, -1.0393, 1.0893, -2.5895, 0.3544, -1.6768, 2.6152, 0.5449, -0.8603, 0.2331, 1.4515, -1.7247, -0.9629, 0.2635, -0.8802, -0.5794, 0.452, -0.6424, 0.4587, 0.2732, 1.3309, 1.6208, -1.1569, -0.4875, 0.6403, 1.6298, -0.4033, 1.1418, 0.6805, 1.3355, -0.6455, 1.5098]"
SIG-0014,device_switching,Rapid switching between multiple devices and browsers suggesting credential sharing. Variant 14: detected in p2p channel with high confidence.,medium,3020,2026-01-08,2024-06-27,"[1.1239, 1.6715, 0.7378, -1.3304, -0.8393, -0.0019, 1.3466, -1.3253, 1.3208, 0.0261, 1.4297, -0.1103, -0.4572, -0.0382, -0.8941, 0.963, 0.1617, 0.3366, -1.3964, 0.5565, -0.1791, -0.4814, 0.8166, -0.0501, -0.4122, 0.8329, 0.5136, 0.9193, 0.3425, 0.4975, -1.2905, 0.1549, 2.0316, -0.2457, -1.538, -0.6946, -0.1755, 0.4112, 0.1496, 0.5627, 0.4429, -0.5239, 0.4503, 0.9971, -1.8433, -2.4519, 0.2932, 0.989, -1.5722, 0.263, 0.1428, -0.6896, -0.672, -0.6053, 0.5517, -0.747, -0.5561, 1.4082, 0.2042, 1.0055, 0.588, 0.1115, 0.4073, -1.0773]"
SIG-0015,mfa_change_high_value,"MFA settings changed shortly before high-value wire transfer initiated, typical account takeover pattern. Variant 15: detected in international channel with high confidence.",high,556,2026-02-27,2025-04-14,"[0.0179, 1.2523, -0.6032, 0.8074, -1.6715, 1.2432, 0.735, 0.5446, -2.38, 0.7076, 0.8593, -0.1506, 0.0696, -0.5799, -0.2041, -0.1061, -0.3224, -0.2268, 0.1258, 1.1239, -0.427, 1.5364, -1.9849, -0.1777, 1.9651, 0.8726, 0.3611, -1.4937, -0.188, 0.8393, 1.303, 1.1368, 0.599, 1.8073, 1.1509, -0.234, 0.7438, 1.1174, -0.148, -0.787, 0.9486, -0.4632, -1.1538, -0.1482, -0.8929, 0.1588, 1.6856, 0.7631, 0.6822, 0.7448, -0.6584, 0.0952, 1.3893, 0.7717, 0.8833, -0.9027, -0.5007, 0.9605, 0.3091, 1.0304, 0.2825, 0.4708, 0.3829, -1.8903]"
SIG-0016,dormant_account_spike,Long-dormant account suddenly showing high transaction volume. Variant 16: detected in atm channel with medium confidence.,medium,938,2026-02-06,2024-07-26,"[1.5765, 0.1638, 1.3293, -1.2916, 0.5442, 0.6158, -0.7419, -1.6922, 0.7045, 1.8456, -0.7509, 0.5992, -2.7314, -2.7269, 1.5923, 2.2999, 1.6391, -0.3561, 1.2437, 0.1393, -0.5347, 0.9852, -0.0048, -0.1118, 0.2925, -0.8668, 0.209, 0.0349, -0.3002, 1.0551, 1.8508, -0.4611, 1.6631, -0.8574, 1.3602, -0.7283, -0.9771, -1.4579, 1.4447, 0.6435, -0.5837, 0.6617, -1.2521, -0.2507, 0.5503, -1.9639, 1.6318, -0.9526, -0.0149, -0.4358, -1.2954, -3.1351, 1.088, 0.99, -0.0682, -0.2647, -0.037, 1.3977, -0.1894, -1.7284, 1.6586, 0.6801, -1.1662, 0.3505]"
SIG-0017,mfa_change_high_value,"MFA settings changed shortly before high-value wire transfer initiated, typical account takeover pattern. Variant 17: detected in atm channel with high confidence.",medium,1148,2025-12-19,2025-05-06,"[1.4422, 0.833, 1.4908, -0.6622, -0.504, -0.849, 0.6258, 0.0441, -0.0935, 0.4912, 0.1661, -0.6132, -1.2025, -0.4989, 1.2868, -0.1688, -0.6247, 1.4465, -1.0683, -0.6127, -0.0275, 0.6948, -0.0273, 0.5941, 0.7332, -0.4589, 0.3091, 1.0572, 0.0861, -0.2939, 1.268, -0.0618, 0.6573, -0.2114, 0.4106, 1.4588, -1.7017, 0.5398, -0.6477, -0.2415, -0.4067, 0.5553, 2.02, -1.3438, 0.932, -1.4378, -0.3587, 0.4611, 0.1147, 0.7081, 0.2901, 0.2833, -2.0963, -0.5629, 1.0887, 1.1043, 0.3736, 2.3095, -2.3284, 1.5159, -0.2989, -0.4871, -1.88, -1.4499]"
SIG-0018,device_switching,Rapid switching between multiple devices and browsers suggesting credential sharing. Variant 18: detected in wire channel with high confidence.,high,3969,2026-01-20,2024-11-26,"[0.7277, 0.0962, -0.5326, 0.7351, -1.1493, -0.7613, -0.3907, -0.8284, -2.2912, 1.2596, -0.4267, -0.0011, -0.5705, 1.372, -1.2553, 0.3525, 0.1173, 0.5793, -0.4914, -1.4458, -1.3192, -0.0757, 0.1693, -0.0333, -1.1519, 1.5636, 1.3652, 0.4017, -1.0504, -0.9168, -0.6227, 1.1528, 0.8564, 0.3751, -1.5126, -1.3905, 1.8897, -0.2115, -0.5326, 0.9381, 0.8893, -0.4668, -0.0046, 0.3707, 0.1047, 0.7661, -0.4973, 1.8678, 0.3174, 0.1099, 1.4957, 0.5875, 1.1657, 0.9483, -0.8632, 1.2126, 0.027, -0.8334, -0.2249, -0.2239, 0.35, 0.8488, 1.1945, 0.3909]"
SIG-0019,impossible_travel,User login from geographically distant locations within impossible timeframe indicating compromised credentials. Variant 19: detected in retail channel with medium confidence.,critical,2778,2026-02-19,2025-03-17,"[-1.2021, -0.2737, -0.032, -0.5166, -0.9604, -0.8824, -1.0755, 1.4042, -1.8715, -0.6417, -1.2209, 0.6151, 0.4366, 0.2222, 1.4886, 0.9025, 0.2666, 1.2377, 1.306, 1.5076, 0.2912, -0.7778, 1.2859, -0.5864, -0.6552, 0.8405, -2.3593, -1.6309, 1.1429, 1.9773, 0.0361, -1.0197, 2.3236, -0.6196, -0.6511, 0.8024, 0.2104, -0.9573, -0.0682, -0.345, -0.2514, -1.6236, -0.5149, -0.968, 0.0821, -0.167, -0.6345, 0.1223, -0.3081, -1.2887, -1.5076, -0.0146, -1.0764, 0.305, -0.1203, -2.2627, 0.4612, -0.0259, 0.348, -1.4991, -0.6438, -0.0937, 1.105, -0.8256]"
SIG-0020,device_switching,Rapid switching between multiple devices and browsers suggesting credential sharing. Variant 20: detected in p2p channel with medium confidence.,high,582,2026-01-01,2024-05-13,"[-0.5205, 0.8925, 1.6528, 0.3743, 0.6466, 0.8196, -0.7338, 0.7632, -0.5672, -0.9461, 1.205, -1.3639, 0.6542, -0.4733, 2.1548, -0.6684, -0.6028, 1.4292, -0.0062, -0.5601, -0.5993, -0.0457, -0.1556, 0.6174, 0.5912, 0.839, 0.1372, -1.2335, 0.0609, -0.6849, 0.4114, 1.1683, 0.4821, -2.0682, 0.1334, 0.3369, -1.2439, -0.4846, 0.4612, 0.5453, 0.4996, 1.2879, 0.2115, 0.3535, 0.6858, -0.4583, -0.615, -1.5229, 1.7796, 0.7213, 0.1217, 0.1686, -0.6804, -0.7961, 0.7813, 0.5397, 0.2069, -0.3979, -0.5825, -1.3013, -2.1755, -0.6191, -0.6837, 0.3613]"
SIG-0021,velocity_burst,Rapid succession of card transactions within minutes suggesting automated fraud bot. Variant 21: detected in international channel with medium confidence.,medium,945,2026-02-17,2025-10-03,"[0.8726, 0.4955, -1.019, -1.2106, 0.0467, 1.5973, 0.1749, -0.0909, 0.3638, -1.1299, -0.2211, -1.3984, 0.4076, 0.1892, 1.6625, -0.4483, 0.3554, 2.0579, 0.0216, -0.0196, 0.0653, 0.1122, -0.7292, 0.2624, -1.4254, 0.472, -1.4653, -0.1611, -1.7109, -0.3622, -0.6494, -0.3876, 0.1047, 1.2856, 2.9188, 1.6512, 0.4959, -0.0383, -0.1301, 0.8654, -1.4801, 0.7308, -0.5868, -0.9225, -0.8258, -0.8584, -0.5742, 0.4124, -0.8051, 0.7754, 0.7907, 0.7337, 0.9328, -0.8143, -0.8335, 1.587, 0.497, 0.1783, -0.1525, -0.0054, -0.6084, 0.9811, -1.9204, 0.5393]"
SIG-0022,round_amount_pattern,Multiple transactions at exact round dollar amounts suggesting test transactions. Variant 22: detected in international channel with high confidence.,medium,3218,2026-01-02,2025-06-07,"[1.3729, -0.8783, -0.5291, -0.0415, 0.645, -0.693, 0.8632, 0.9333, 0.841, 0.6367, 1.5212, 0.483, 0.6895, -0.5883, -0.2453, 0.3304, 1.2673, -0.0935, -0.9333, 0.5533, -0.1658, 0.8233, 0.0821, 0.3779, 0.5235, 0.6408, 0.9351, 1.712, 1.1069, -0.385, 0.8493, -0.3199, 0.3873, -1.8342, 0.4921, 0.8182, -0.1249, -0.3023, 0.1826, 0.2509, -1.2934, 1.4335, 1.1545, 0.2705, -0.9655, -0.5824, -0.0345, 0.3514, -1.674, 0.9382, 1.249, 0.6368, -0.1675, 0.2272, 0.4019, -1.3133, -0.9898, 0.3665, -1.0211, 1.2167, -2.011, 0.3839, -0.5992, -0.6901]"
SIG-0023,synthetic_identity,New account with thin credit file initiating high-value international transfers. Variant 23: detected in international channel with medium confidence.,high,1290,2026-01-19,2024-05-04,"[-0.8766, 0.7376, 0.9043, -0.2772, -0.0241, 0.0491, -0.0713, 0.3676, -0.9475, 1.1307, 1.3241, 0.2383, -0.1396, -0.4157, -1.7802, -0.096, 0.1682, 1.1486, 0.6126, -0.0044, -0.1551, 1.1392, -1.1933, -0.6908, 1.4645, -0.7017, -0.261, -0.5713, 0.6921, 1.4961, 1.6357, 0.0897, 2.5544, -0.8236, -0.4012, 1.0634, -1.7612, -0.6534, -0.4359, -0.4983, -0.8859, -0.4065, 0.8304, -1.037, -0.514, 0.2425, 1.3314, 0.1684, -0.2571, 0.8591, -1.3505, 0.3169, 0.1876, 1.0843, 1.2008, -1.3643, 0.6321, 1.9367, 0.7349, -1.0072, -0.313, -0.0985, 1.2627, -0.2821]"
SIG-0024,impossible_travel,User login from geographically distant locations within impossible timeframe indicating compromised credentials. Variant 24: detected in wire channel with medium confidence.,high,2248,2026-01-03,2025-02-23,"[-0.0967, 0.1076, 1.1076, -0.0823, 0.4503, -0.6255, 1.7105, -0.8029, 2.0419, 2.2816, -0.6042, -0.4647, -0.7895, -0.0046, -0.1399, -0.3054, -1.067, 0.4647, -0.3659, 1.0475, -0.9546, -1.2907, 0.6719, 2.1804, 0.375, -1.1854, 0.5133, -0.3425, 1.1348, -0.4071, 0.543, 0.5394, -0.0293, 0.3536, 0.1055, -0.4997, 0.354, -0.0257, 0.9028, -0.2381, 0.13, 0.7, -0.2374, -0.9603, -0.0212, 1.2865, 1.6549, 0.4229, -1.23, -0.4452, -2.8529, 1.5776, -0.3303, 0.5465, 1.1318, 0.7404, 0.3151, 0.2771, 0.5131, 0.4728, -1.7794, 0.1618, 0.1478, 0.8906]"
SIG-0025,late_night_wire,High-value wire transfers initiated during unusual hours for the account holder timezone. Variant 25: detected in retail channel with medium confidence.,high,1098,2025-12-11,2024-03-30,"[-2.0262, -0.3789, 0.0834, -0.8198, 1.1831, -0.1942, 1.3077, -1.0624, 0.6488, -0.0104, 0.1959, -2.0367, 0.1227, 1.6904, -0.6177, 0.5869, -0.1473, 0.1264, 0.9616, -0.0485, -0.6959, -0.3289, 1.0181, 0.7942, -1.6788, 0.6418, -0.802, -0.4399, 0.6561, -0.2034, -0.2144, 0.903, 1.2639, -0.6391, -0.3426, 1.1304, -2.5295, -1.0188, 0.8724, -2.4853, -1.6823, 1.835, 0.001, 1.8462, 0.5795, -0.2711, -0.1124, -0.3741, 1.2219, 1.4408, -1.2016, -0.8161, 1.0855, 0.0048, -0.0943, 1.4799, -0.4082, -2.7841, -0.1121, 1.3434, -1.771, 0.3847, 0.6263, 1.1687]"
SIG-0026,mfa_change_high_value,"MFA settings changed shortly before high-value wire transfer initiated, typical account takeover pattern. Variant 26: detected in atm channel with medium confidence.",critical,1791,2026-02-14,2024-09-04,"[-0.8386, -1.0882, 1.06, -0.9368, 0.1037, 0.8206, 0.0916, -2.3864, -0.3532, -1.763, -0.9328, -0.3586, 0.2741, -1.0275, -1.3168, -1.0598, 1.7563, 1.5774, -0.9567, -0.578, 0.9245, -2.0015, -1.4978, 0.2261, -0.0747, -0.9404, -0.9533, -0.5821, -1.0639, 0.6729, 0.129, -2.1796, -0.6859, 0.538, 1.1898, -0.3711, 1.4415, 0.1734, 0.8, -0.3695, -0.6967, 0.9051, -1.0595, 0.6695, 0.6453, -0.4216, -0.1785, -0.6999, -0.7302, 0.0083, 1.0203, 2.223, -0.3068, -0.4327, -0.4314, 0.5214, -2.0445, 0.6926, 0.5048, -1.3303, 1.5718, -0.9799, 0.0282, -0.6225]"
SIG-0027,velocity_burst,Rapid succession of card transactions within minutes suggesting automated fraud bot. Variant 27: detected in wire channel with medium confidence.,critical,2052,2025-12-27,2025-02-16,"[0.7043, 0.3743, -1.1158, -1.6861, 0.8587, 0.0469, -0.142, 0.4911, -0.02, -1.1878, 0.5365, 0.0901, -1.2037, 2.3079, 1.2127, -1.2803, 0.4515, 0.0832, -1.3267, -1.1383, 0.1235, -0.2743, -0.7191, -0.753, -0.5466, 0.2697, -0.6504, -0.1076, 0.6423, -1.3248, 0.5675, -1.0889, 1.5246, 1.2367, 1.6609, 0.6687, -1.8624, -0.3177, -1.5176, 0.895, 0.8862, -1.5132, 0.6254, 0.1641, -0.3445, -0.3609, 0.5866, -0.0957, -1.1256, -0.5765, 0.4239, 1.605, -0.2071, -0.6457, -0.1449, -0.049, -1.5156, -1.2524, 1.0473, 2.403, -0.0156, 0.1994, 0.5704, -1.7437]"
SIG-0028,bot_typing_pattern,Abnormally consistent typing cadence suggesting automated input rather than human. Variant 28: detected in p2p channel with high confidence.,medium,2073,2026-03-01,2025-09-05,"[-0.1363, -0.8037, -0.5488, 0.0963, -0.3396, -0.3282, -0.0377, 0.4067, 0.9091, -1.0035, -0.0662, 0.3371, 0.6561, 1.5944, 0.3749, -0.0306, -0.7171, 0.7339, -1.941, -0.6411, 0.5313, 1.4802, -0.3558, -1.4258, 2.0049, 0.7134, 0.9881, -0.5815, -0.9558, -0.0598, 0.181, -0.4766, 0.1051, -0.7715, 1.185, 1.5693, -0.6656, 1.5271, -0.9863, -0.6007, 0.0356, 0.3649, -0.3249, -1.2612, -0.459, -0.6823, -0.4207, -1.3267, -1.5115, 0.7552, 0.7805, -0.3149, -0.3268, 0.5153, 1.4991, 0.4313, 0.3174, 0.5134, 0.1368, 0.5574, -0.5033, -0.4353, 1.0483, -0.6607]"
SIG-0029,dormant_account_spike,Long-dormant account suddenly showing high transaction volume. Variant 29: detected in international channel with high confidence.,high,1909,2026-02-08,2025-08-30,"[-0.4299, -0.782, -0.361, -1.7564, -0.1279, -1.2461, 1.1208, -1.5314, 0.0253, 1.1228, -0.9514, 0.8978, 0.9835, -0.2583, 0.1303, -0.5167, -1.0661, 3.3903, -0.5055, 0.4329, 0.9733, 0.0382, 1.4187, -0.4824, -0.7306, 1.1739, -1.1539, 1.1263, -1.1543, 0.552, 1.4424, 0.7955, -0.9703, -1.5766, 0.5676, 0.477, -1.0043, 1.222, -0.1174, -0.9081, 0.7943, 3.2333, 0.9222, -1.066, 0.5129, -0.1049, 0.0188, 0.7032, -0.2573, 0.6085, 0.5069, 1.0792, 1.482, 1.3063, -1.2374, -0.049, -0.5283, 0.4231, 0.521, -0.3967, 1.7013, 1.3745, -0.6557, -0.9837]"
SIG-0030,mfa_change_high_value,"MFA settings changed shortly before high-value wire transfer initiated, typical account takeover pattern. Variant 30: detected in atm channel with medium confidence.",critical,2202,2025-12-24,2024-05-30,"[-1.2585, -1.4527, -0.6135, -1.4799, -0.1088, 0.0921, -2.1512, 0.7024, -0.3433, -2.299, 0.5851, 0.7519, 0.171, 0.4218, 0.5984, 0.9688, 0.1537, -0.7816, -0.1428, 0.0588, 0.9504, -0.1542, 0.1072, 1.1869, -0.987, 1.0983, 0.0579, -1.3069, -0.5758, -0.1812, -0.9081, -1.3413, -0.5694, -0.8172, -1.2714, -1.4626, -0.4231, 0.1216, 1.4151, 0.6657, 0.7788, 0.98, 1.2054, -0.4658, 1.2966, 1.9635, -1.4196, -1.3752, 1.4786, 1.4504, 0.0413, 0.0704, -3.3941, 0.3967, 0.8711, 0.1334, -2.1738, -0.6706, 0.6144, 0.2706, 2.7203, -0.0226, 1.9837, -0.8303]"
